,cuisine,itemset_length,itemsets,support
2053,mediterranean,8,"frozenset({'onion', 'lemon zest', 'pepper', 'garlic', 'chicken stock', 'olive oil', 'salt', 'oregano'})",0.103448276
17,mexican,1,frozenset({'salt'}),0.865671642
100,mexican,2,"frozenset({'garlic', 'salt'})",0.686567164
398,mexican,3,"frozenset({'garlic', 'pepper', 'salt'})",0.567164179
879,mexican,4,"frozenset({'garlic', 'onion', 'pepper', 'salt'})",0.462686567
1302,mexican,5,"frozenset({'onion', 'pepper', 'garlic', 'cumin', 'salt'})",0.373134328
1601,mexican,6,"frozenset({'pepper', 'garlic', 'tomato', 'olive oil', 'coriander', 'salt'})",0.298507463
1803,mexican,7,"frozenset({'onion', 'pepper', 'garlic', 'tomato', 'olive oil', 'coriander', 'salt'})",0.253731343
1849,mexican,8,"frozenset({'onion', 'pepper', 'garlic', 'tomato', 'cumin', 'olive oil', 'coriander', 'salt'})",0.179104478
1861,mexican,9,"frozenset({'onion', 'pepper', 'garlic', 'tomato', 'cumin', 'olive oil', 'coriander', 'salt', 'cream'})",0.104477612
18,middle-eastern,1,frozenset({'salt'}),1
122,middle-eastern,2,"frozenset({'olive oil', 'salt'})",0.875
277,middle-eastern,3,"frozenset({'olive oil', 'coriander', 'salt'})",0.75
801,middle-eastern,4,"frozenset({'pepper', 'olive oil', 'coriander', 'salt'})",0.625
1468,middle-eastern,5,"frozenset({'onion', 'pepper', 'olive oil', 'coriander', 'salt'})",0.5
1938,middle-eastern,6,"frozenset({'onion', 'pepper', 'garlic', 'olive oil', 'coriander', 'salt'})",0.4375
2129,middle-eastern,7,"frozenset({'onion', 'pepper', 'garlic', 'cumin', 'olive oil', 'coriander', 'salt'})",0.3125
2216,middle-eastern,8,"frozenset({'onion', 'pepper', 'garlic', 'cumin', 'paprika', 'olive oil', 'coriander', 'salt'})",0.1875
2230,middle-eastern,9,"frozenset({'onion', 'pepper', 'peas', 'water', 'garlic', 'cumin', 'olive oil', 'coriander', 'salt'})",0.125
14,south-american,1,frozenset({'salt'}),0.909090909
87,south-american,2,"frozenset({'olive oil', 'salt'})",0.818181818
330,south-american,3,"frozenset({'lime', 'olive oil', 'salt'})",0.636363636
690,south-american,4,"frozenset({'lime', 'olive oil', 'coriander', 'salt'})",0.545454545
1513,south-american,5,"frozenset({'pepper', 'lime', 'olive oil', 'coriander', 'salt'})",0.454545455
2542,south-american,6,"frozenset({'pepper', 'lime', 'tomato', 'olive oil', 'coriander', 'salt'})",0.363636364
3271,south-american,7,"frozenset({'pepper', 'garlic', 'lime', 'cumin', 'olive oil', 'coriander', 'salt'})",0.272727273
3593,south-american,8,"frozenset({'onion', 'garlic', 'lime', 'cumin', 'paprika', 'chicken stock', 'olive oil', 'salt'})",0.181818182
4089,south-american,9,"frozenset({'onion', 'pepper', 'garlic', 'lime', 'cumin', 'paprika', 'olive oil', 'coriander', 'coconut'})",0.181818182
4309,south-american,10,"frozenset({'onion', 'pepper', 'garlic', 'lime', 'cumin', 'paprika', 'olive oil', 'coriander', 'salt', 'coconut'})",0.181818182
4375,south-american,11,"frozenset({'onion', 'pepper', 'garlic', 'lime', 'cumin', 'sugar', 'paprika', 'olive oil', 'coriander', 'salt', 'coconut'})",0.181818182
4387,south-american,12,"frozenset({'onion', 'pepper', 'garlic', 'lime', 'tomato', 'cumin', 'sugar', 'paprika', 'olive oil', 'coriander', 'salt', 'coconut'})",0.181818182
5,thai,1,frozenset({'chilli'}),0.805555556
163,thai,2,"frozenset({'garlic', 'sugar'})",0.694444444
488,thai,3,"frozenset({'garlic', 'fish sauce', 'sugar'})",0.638888889
746,thai,4,"frozenset({'garlic', 'chilli', 'fish sauce', 'sugar'})",0.555555556
1164,thai,5,"frozenset({'chilli', 'garlic', 'lime', 'sugar', 'fish sauce'})",0.416666667
1361,thai,6,"frozenset({'chilli', 'garlic', 'lime', 'sugar', 'coriander', 'fish sauce'})",0.305555556
1434,thai,7,"frozenset({'chilli', 'garlic', 'lime', 'sugar', 'lemongrass', 'coriander', 'fish sauce'})",0.222222222
1441,thai,8,"frozenset({'chilli', 'garlic', 'sugar', 'vegetable oil', 'lemongrass', 'chicken stock', 'coconut', 'fish sauce'})",0.111111111
3,vietnamese,1,frozenset({'chilli'}),0.9375
113,vietnamese,2,"frozenset({'chilli', 'sugar'})",0.875
789,vietnamese,3,"frozenset({'chilli', 'fish sauce', 'sugar'})",0.75
3404,vietnamese,4,"frozenset({'garlic', 'chilli', 'fish sauce', 'sugar'})",0.625
9564,vietnamese,5,"frozenset({'chilli', 'lime', 'sugar', 'coriander', 'fish sauce'})",0.5
20656,vietnamese,6,"frozenset({'chilli', 'garlic', 'lime', 'sugar', 'coriander', 'fish sauce'})",0.375
35962,vietnamese,7,"frozenset({'soy sauce', 'chilli', 'garlic', 'lime', 'sugar', 'vegetable oil', 'coriander'})",0.25
51771,vietnamese,8,"frozenset({'soy sauce', 'chilli', 'garlic', 'lime', 'sugar', 'vegetable oil', 'lemongrass', 'coriander'})",0.25
61909,vietnamese,9,"frozenset({'onion', 'chilli', 'water', 'lime', 'beansprouts', 'sugar', 'coriander', 'salt', 'fish sauce'})",0.1875
65929,vietnamese,10,"frozenset({'clove', 'hoisin', 'chilli', 'lime', 'beansprouts', 'cinnamon', 'coriander', 'basil', 'fish sauce', 'ginger'})",0.125
74304,vietnamese,11,"frozenset({'onion', 'clove', 'hoisin', 'chilli', 'lime', 'beansprouts', 'cinnamon', 'coriander', 'basil', 'fish sauce', 'ginger'})",0.125
78763,vietnamese,12,"frozenset({'onion', 'clove', 'hoisin', 'chilli', 'lime', 'beansprouts', 'cinnamon', 'coriander', 'salt', 'basil', 'fish sauce', 'ginger'})",0.125
80597,vietnamese,13,"frozenset({'onion', 'clove', 'hoisin', 'chilli', 'lime', 'beansprouts', 'cinnamon', 'sriracha', 'coriander', 'salt', 'basil', 'fish sauce', 'ginger'})",0.125
81158,vietnamese,14,"frozenset({'onion', 'clove', 'hoisin', 'chilli', 'star anise', 'lime', 'beansprouts', 'cinnamon', 'sriracha', 'coriander', 'salt', 'basil', 'fish sauce', 'ginger'})",0.125
81278,vietnamese,15,"frozenset({'onion', 'clove', 'hoisin', 'chilli', 'star anise', 'lime', 'beansprouts', 'sugar', 'cinnamon', 'sriracha', 'coriander', 'salt', 'basil', 'fish sauce', 'ginger'})",0.125
81294,vietnamese,16,"frozenset({'onion', 'clove', 'hoisin', 'chilli', 'water', 'star anise', 'lime', 'beansprouts', 'sugar', 'cinnamon', 'sriracha', 'coriander', 'salt', 'basil', 'fish sauce', 'ginger'})",0.125
